Card   1: 61 73 92 28 96 76 32 62 44 53 | 61 17 26 13 92  5 73 29 53 42 62 46 96 32 21 97 99 28 12  4  7 44 19 71 76
Card   2:  3 88 36 12  2  9 15 55 21 89 | 23 39 98 36  2 24  9  3 78 95 55 37 12 61 38 88 85 89 13 15 96 45 21 25 30
Card   3: 96 44 52 56 82 89 73 50  9 68 | 39 71 64 32 13 57 56 67 34 84 51 53 41 16 38 63  5 80 70 75  7 76 85 83 18
Card   4: 54 84 76 44 38 33 12 17 93 94 | 18 21 53 11  7 98 78 92  9 32 29 50 86 23 95 77 22 79 71 80 60 35 54 36 91
Card   5:  8 11 33 98 37 80 39 76 53 91 | 82 35 27 29 50 73 24  4  5 53 93 65 45 69 74 54 59 44 43 87 58 38 28 16 98
Card   6: 10 58 39 28 35 79 14 73 64 96 | 90 86 38 93 74 29 21 14 33 16 85  9  2  1  3 71  5 76 50 73 19 47 34 58 69
Card   7:  1 96 73 38 64 87 45 25 99 10 | 11 30 96 43 17 72 24 55 79 64 98 46 25 38 45 73 99  1 91 87 90 10 18 75 85
Card   8: 24  3 23 50 58 35 57 51 22  2 | 95 50 22 75 27 57 72 25 12 61 82 16 76 23 51 24 52 11 81 63 58 65  3 35  2
Card   9: 98 59 30 22 10 69 68 17 48  8 | 22 75 34 63  7 72 30 73 19 13 35 80 58 84 98 59 77 57 55 46  6 52 25 48 42
Card  10: 82 32 48 60 17 85 97 22 26 87 | 33 49 81 29 70  8 74 45 97 68 36 78 83 11 14 90 93 99  1 59 95 30  4 26  2
Card  11: 73 71 18 75 29 87 36 98 72 33 | 56 48  1 32 81 10 64 41 21 93  6 88 30  4 14 51 96 39 37 42 59 69 36  5 66
Card  12:  1 67 47 54 45 75 73 64  6 26 | 10 53  5 50 57 27 95 54 64  2 61 89 73 84 70 69 93 85 49 92  1 19 21 76 13
Card  13: 65 19  2 74  3 20 83 11 82 78 | 70 19 55 87 90 50 79 59 77 52 62 85 22 75 96 73  6 65 25 74 63 10 11 20 44
Card  14: 44  8  3 31 57 91 39 25 43 80 | 75 51  1 56 39 97 13 11 10 78 53 22  9  8 23 66 38 90 14 50 26 16 74 83  6
Card  15: 78 34 48 33 74 12 44 98 17  8 | 52 19 81 77 63 72 49  8 90 84 87 96 76 57 62 11 20 74 95 12 91  5 89 44 25
Card  16: 28 90 29 51 63 42  3 65 37  5 | 83 68 61 66 81 53 82 14  4 47 87 77 62 18 85 16 10 94 86 33 55  1 20 15 21
Card  17: 77 11 72 70 34 74 14 89 57 42 |  7 28 30 57 35 65 96 90 12 64 85 25 99 41 80 68 39 84 83 56 70 13 73 93 50
Card  18: 45 11 62 99 34 19 82 13 71 31 |  6  8 63 66 86 35 69 75 53 97  7 68 78 72 64 42 95 51 94 24 98 14 55 76 80
Card  19: 42 30 59 65 19 41 49 12 13 55 | 57 16 31 26 39 51 25 28 56  3 34 85 46 80 52  5  8 89 37 95  6 98 69 63 64
Card  20:  7  9 84 17 12 49 45 83 74 63 | 82 46 66 59 14 21 29 35 33 76  6 67 81 41  1 89 13 40  5 52 62 27 50 37  4
Card  21: 31 81 25 28 33 95 71 30 84 23 | 30 29 21 84 31 95 23 33 92 71 27 86 52 87  5 44 81 28 13  6  9 45  1 25 93
Card  22: 78 21 36  3 39 38 11 97 54  6 | 42  2 78 32 27 39  6 13  4 86 88 44  3 54 38 43 36 82 97 21 66 69 11 65 72
Card  23: 37 19  7 49 52 67 17 53 16 75 | 52 91 13 75 35  3 25 14 78 33 17 49 83 56 16 81 62 53 19 37 73 67  7 71 28
Card  24: 44 19 43 15 81  1 50 29 31 94 | 68 43 66 75 61 50 29 44 31 85 19 83 49 77 15 72 24 60 69  1 17 52 94 90 81
Card  25:  3 45  5 83 72 12 61 24 48 13 |  5 52  3 45 32 13 65 55 72 57 15  1 79 19 82 75 12 56 85  2 14 54 16  8 86
Card  26: 98 86 62 91  5 69 34 66 88 87 | 86 95 30 52 38 62 87 98 46 88 31 53 34 59 22  5 54 29 91 56 66 25 69 32  3
Card  27: 91 85 44  3 59 83 79 90 23 48 |  3 53 12 62 28 90 93 15 71 65 17  4 84 63 48 30 44 85 23 59 83 91 79 35 77
