226812424329784, 313674772492962, 250967806511035 @ -20, -101, 43
156274983486737, 293490501315933, 293121959642065 @ 45, -251, -173
207764536837581, 163271244449071, 371393112488483 @ 93, 245, -192
209804670682561, 250789988079231, 252487181905867 @ 91, 79, 34
150339779415021, 271611882013561, 68614454684867 @ 101, -96, 988
416002937640560, 394232937765767, 269351324135307 @ -36, -46, 11
362712956952531, 433513695633343, 191526561133472 @ -7, -106, 96
198785880147405, 324921397895257, 340510306948487 @ 35, -152, -209
145728474859247, 321958985802473, 289440083099601 @ 70, -536, -191
124756947449141, 227338006452723, 296266342750791 @ 213, 133, -268
332568571840203, 355668185768191, 207193221176993 @ -16, -45, 89
204932234107573, 361035500446254, 368031435248579 @ 67, -179, -225
354191625646151, 440172655305121, 178446451055107 @ -72, -180, 136
131370683845710, 276968634585145, 18537100350464 @ 224, -24, 744
381075243620540, 246451426069301, 412128145779322 @ -38, 100, -154
371408942167819, 311253810580593, 341654656320769 @ -20, 28, -71
333337979972254, 370033418653506, 286632040562581 @ 42, -25, -7
282900077707140, 447567024122137, 193469790443240 @ -14, -248, 132
177432361189863, 299279215511650, 326353067598698 @ 121, -49, -140
186672601371741, 422952506760037, 306748088746761 @ 113, -306, -83
299134614943815, 345979506922644, 351340506277092 @ -199, -179, -214
449174371448965, 402451188088429, 370294596173189 @ -86, -63, -96
134521971308111, 335048477142587, 39345624165109 @ 198, -307, 907
160030243347860, 202031005316985, 280584474757761 @ 90, 232, -67
314698380980791, 306162779127521, 313300253646622 @ -83, -16, -74
163120323199498, 251813162705417, 252980126796845 @ 12, -8, 57
332868488972174, 403055667374735, 251174051379005 @ -50, -134, 33
401473961701150, 333678178297506, 543403333868225 @ -48, 5, -291
170076952437801, 126165578816617, 311520969977369 @ -102, 846, -347
371365868541921, 356961155336251, 266751612326447 @ -81, -54, 11
295819054940343, 314110369178887, 148797344309157 @ -106, -57, 251
409790582469324, 151776795963805, 327424180071023 @ -54, 204, -53
138270680203396, 258107386330621, 271817976005785 @ 58, -180, -107
381127481911971, 378672046969706, 266586976644712 @ -139, -109, 10
150602342969451, 230309309072094, 273838499640000 @ -7, 109, -100
247771192610296, 277110105573566, 256594584544007 @ -14, 17, 27
234953756905977, 247973886947785, 100800374190905 @ 91, 92, 255
300082554382681, 412323165219231, 105273111392847 @ 39, -106, 211
355473428520533, 300226793590001, 176973665485853 @ 30, 50, 102
164118745840161, 310270955817121, 277542320789657 @ 142, -95, -27
155316551860875, 178833313088781, 421515537724424 @ 101, 340, -690
113097958812819, 232996675372671, 166592662155777 @ 296, 95, 601
348011080800000, 257133306864214, 389189804694326 @ 10, 89, -122
471353343966397, 247623130004601, 154156717233165 @ -116, 100, 134
379625132825373, 280795430679892, 384015098750291 @ -85, 51, -145
345436464394921, 287414371429361, 234597269784197 @ -149, 14, 66
209024340185796, 330885520086596, 250262440388362 @ 134, -25, 34
462399349046637, 215096631146905, 534787968532364 @ -133, 136, -296
233218678470666, 209373875900096, 282236738475972 @ -94, 181, -50
364370794836012, 529398617354913, 198090760581417 @ -58, -272, 101
318379215980550, 304265665177276, 242192933909393 @ -16, 15, 45
129743598096313, 236721377399509, 279908269170341 @ 135, 33, -210
269476393335872, 260772484481864, 289227860228619 @ 30, 71, -25
216130232072719, 355602991267416, 189322085516970 @ 97, -95, 140
436654290368772, 372562528461982, 408280635456701 @ -156, -69, -175
370685230631807, 425033573386273, 340171865667130 @ -15, -96, -68
150712956758015, 325563717472692, 101656258424986 @ 189, -101, 382
121675678883010, 210467917719419, 244637283500931 @ 242, 238, 115
411187519123038, 370712005399153, 268775553986030 @ -18, -16, 12
322069853848298, 392134114907230, 292577857343309 @ 42, -57, -15
447333513520184, 269645411986027, 298540741526325 @ -174, 66, -31
216824124225964, 216361706626225, 291510688902366 @ 76, 144, -40
129979253714201, 76732957580221, 165501484840552 @ 231, 540, 280
239985869073975, 376578568311571, 414456906800341 @ -46, -255, -373
247218743568265, 317007252145505, 326539563001225 @ 121, 23, -53
268930515637385, 336248328475505, 146150021195017 @ 37, -41, 191
299164178536649, 291438991834156, 267128298655048 @ -41, 15, 8
267802016841073, 388516469812893, 88266692542184 @ -33, -196, 360
342547986428481, 230241862159219, 280568909017763 @ -97, 118, -13
241634112589209, 240889586660953, 366435328974185 @ -193, 76, -375
154069436892281, 221258114238761, 360627707772537 @ 37, 169, -620
318849150729771, 389834068801143, 284744219130787 @ -172, -229, -34
404782734480441, 498108637411081, 338293657221017 @ -267, -378, -125
367540825848231, 285288766152598, 309229840729775 @ -7, 59, -33
396564882034713, 248866950174169, 247096549729353 @ -31, 99, 34
183493048738773, 12842107422289, 294975523620965 @ 166, 442, -32
